img,avg_stop_distance
300.jpg,495.0998611213984
301.jpg,877.8887435268425
302.jpg,975.0829208501646
303.jpg,240.82584433884318
304.jpg,211.15230861907705
305.jpg,255.2966792395849
306.jpg,256.06882249138795
307.jpg,239.99030778655722
308.jpg,214.44651919113343
309.jpg,245.78263462819706
310.jpg,271.66020862069036
311.jpg,213.686877713304
312.jpg,357.56776883049974
313.jpg,236.5304943970403
314.jpg,203.75654414327025
315.jpg,254.4759405270927
316.jpg,246.6203806340919
317.jpg,235.48552352332354
318.jpg,217.0669819097919
319.jpg,255.09407399605138
320.jpg,281.67279659809157
321.jpg,226.67246747660158
322.jpg,340.13142871647074
323.jpg,217.48203872481213
324.jpg,204.55118111622846
325.jpg,233.19828028486089
326.jpg,209.07979649081
327.jpg,341.46223850110715
328.jpg,376.9166696431078
329.jpg,397.0750167714982
330.jpg,335.1289602593106
331.jpg,203.54766406095996
332.jpg,232.69621631965543
333.jpg,208.72754149039386
334.jpg,341.4622385011063
335.jpg,376.91666964310707
336.jpg,397.164148141824
337.jpg,217.482038724813
338.jpg,203.76518474228516
339.jpg,233.08132612223463
340.jpg,209.07979649082105
341.jpg,296.18196857384015
342.jpg,341.46223850110533
343.jpg,376.91666964309854
344.jpg,397.1649285660357
345.jpg,334.16802171737675
346.jpg,202.43122465590534
347.jpg,232.7899490870829
348.jpg,208.72620988545026
349.jpg,296.84597884923755
350.jpg,341.46223850111573
351.jpg,376.91666964310457
352.jpg,397.215282894039
353.jpg,334.86634351493103
354.jpg,310.93436312381505
355.jpg,308.3639783877471
356.jpg,299.113563626433
357.jpg,323.0231151759697
358.jpg,222.39785978405322
359.jpg,301.46094306974425
360.jpg,298.4537235098993
361.jpg,321.7313717498273
362.jpg,343.892927656891
363.jpg,360.48316909970197
364.jpg,397.35550446473786
365.jpg,570.4282151354201
366.jpg,738.2155237187671
367.jpg,216.52564570591792
368.jpg,381.35472944865273
369.jpg,192.86947063279214
370.jpg,3106.794068112787
371.jpg,233.47007371534397
372.jpg,230.84828338162035
373.jpg,240.3645385635101
374.jpg,232.56710162266398
375.jpg,303.7186897998804
376.jpg,251.20434962090275
377.jpg,345.92549616910406
378.jpg,252.65406252274352
379.jpg,296.2973116078288
380.jpg,249.09940537133744
381.jpg,223.6746388967633
382.jpg,368.01757505242216
383.jpg,298.5645940767151
384.jpg,203.53512012536584
385.jpg,369.295145000503
386.jpg,241.33668980418554
387.jpg,249.58252603623725
388.jpg,361.8072170709001
389.jpg,199.48866748355468
390.jpg,248.343933936507
391.jpg,223.19272318977494
392.jpg,219.68074658782163
393.jpg,280.4232288539221
394.jpg,265.2719243630715
395.jpg,1406.758519438475
396.jpg,284.3429701798456
397.jpg,287.6979267957642
398.jpg,267.88723945517654
399.jpg,399.4985257524927
400.jpg,240.24593728273007
401.jpg,296.23336421421635
402.jpg,252.5664353745681
403.jpg,436.0541838113044
404.jpg,308.74949326980976
405.jpg,269.1004835664368
406.jpg,253.95352110970833
407.jpg,271.8433028311189
408.jpg,273.9782207970439
409.jpg,294.05970333609764
410.jpg,336.4335594668539
411.jpg,493.752339527554
412.jpg,319.7465419707217
413.jpg,249.96110524802774
414.jpg,240.3384699558447
415.jpg,267.40288497319665
416.jpg,276.07758746456955
417.jpg,807.8157831893765
418.jpg,342.40716456371376
419.jpg,322.97631223792
420.jpg,309.3277618108957
421.jpg,327.9591757669157
422.jpg,421.4025864491478
423.jpg,378.3597225670949
424.jpg,407.31296540350723
425.jpg,341.48144642933306
426.jpg,437.74345195167336
427.jpg,361.98108603764126
428.jpg,414.66820792763076
429.jpg,579.0592006123525
430.jpg,385.8308455322223
431.jpg,466.2959972531722
432.jpg,325.261630218717
433.jpg,490.2875647063773
434.jpg,305.5044544151118
435.jpg,414.9998465666784
436.jpg,1055.1339128564566
437.jpg,450.3640788136455
438.jpg,507.6730193509123
439.jpg,254.79164774704046
440.jpg,352.1716160801926
441.jpg,427.9678136080634
442.jpg,1031.8622960627408
443.jpg,307.70848586122713
444.jpg,308.10015096168274
445.jpg,747.9805687758953
446.jpg,309.1394418590114
447.jpg,321.4625906137244
448.jpg,341.7992403494571
449.jpg,296.1839324588223
450.jpg,760.8033804686271
451.jpg,277.0770464340843
452.jpg,297.9448199743103
453.jpg,1249.3711519168846
454.jpg,409.3627694607617
455.jpg,332.0276366286382
456.jpg,379.2966989544258
457.jpg,439.322738156437
458.jpg,1244.1430746604667
459.jpg,559.1469221310465
460.jpg,451.17578407578196
461.jpg,299.2145953307114
462.jpg,259.7693557830751
463.jpg,381.87752486236207
464.jpg,248.92154145451488
465.jpg,223.20178692242666
466.jpg,234.45884217939783
467.jpg,242.51466019942637
468.jpg,303.4211715958444
469.jpg,330.9225243644812
470.jpg,263.48928547108636
471.jpg,242.62587136252162
472.jpg,191.47145661046886
473.jpg,365.2281218616587
474.jpg,219.70307832386197
475.jpg,237.86096503380412
476.jpg,184.35587869530818
477.jpg,242.7310783332606
478.jpg,317.37777607454166
479.jpg,292.6254267585361
480.jpg,223.4481002694782
481.jpg,217.4927165506423
482.jpg,189.95413164015318
483.jpg,242.73445980649782
484.jpg,249.409238213442
485.jpg,210.68901172388152
